Slide_ID	Position_ID	Cell_ID	Cell_Center_X	Cell_Center_Y	Cell_Area	Marker_States
NA	NA	154.0	1208.4928	899.4786	443	21222211222220
NA	NA	155.0	1070.079	633.1579	443	02020212020202
NA	NA	156.0	1395.4537	1816.8889	443	10101000101010
NA	NA	157.0	1776.9386	920.0789	443	01211110212010
NA	NA	158.0	945.2895	799.2281	443	10121112122222
NA	NA	159.0	1783.5294	1813.6824	443	11101111112122
NA	NA	160.0	812.0106	1694.6277	443	11212211202110
NA	NA	161.0	1109.258	751.5161	443	01220212122222
NA	NA	162.0	902.2261	867.26086	443	21020021111212
NA	NA	163.0	1058.4579	1590.243	443	22002002100211
NA	NA	164.0	1714.1091	674.91815	443	12201210212011
NA	NA	165.0	1083.2545	919.62726	443	00210021222221
NA	NA	166.0	1025.3334	1026.762	443	10212001110211
NA	NA	167.0	1409.5975	716.6707	443	20222210211020
NA	NA	168.0	1780.6694	1170.2288	443	12211221221112
NA	NA	169.0	1200.9474	1451.8948	443	20122012111010
NA	NA	170.0	672.93256	1474.7753	443	01211211202010
NA	NA	171.0	1242.7246	719.49274	443	20020020010000
NA	NA	172.0	703.8	1374.7545	443	12102021101020
NA	NA	173.0	1154.1177	1618.6765	443	02210212112212
NA	NA	174.0	1136.8969	908.2857	443	10221021122221
NA	NA	175.0	1216.2461	1006.9077	443	11120022122222
NA	NA	176.0	755.19104	1931.9551	443	10101011211212
NA	NA	177.0	882.56335	1574.0704	443	21212112222121
NA	NA	178.0	1615.0731	1066.4634	443	21222120211120
NA	NA	179.0	1649.4911	1213.4822	443	22202202122122
NA	NA	180.0	1414.1333	608.3444	443	12111200101120
NA	NA	181.0	1671.8468	891.63965	443	21202220212222
NA	NA	182.0	1604.0366	1159.0731	443	02121202122222
NA	NA	183.0	1629.6666	871.8246	443	10212010102122
NA	NA	184.0	1000.14703	608.36273	443	22111021101211
NA	NA	185.0	1642.75	1528.784	443	22102122202121
NA	NA	186.0	876.0396	724.63367	443	21110121122121
NA	NA	187.0	1097.6517	1879.3036	443	21101121102212
NA	NA	188.0	1045.707	1695.2828	443	22102002202220
NA	NA	189.0	1504.183	490.2073	443	12101120111001
NA	NA	190.0	1546.7181	1068.091	443	01111111100010
NA	NA	191.0	673.0102	1795.4592	443	20212101112021
NA	NA	192.0	1309.2612	450.9189	443	11020100010201
NA	NA	193.0	1734.0605	880.0101	443	00101020202020
NA	NA	194.0	1231.4108	1054.6072	443	00111012021211
NA	NA	195.0	767.07526	1818.0107	443	11101211102121
NA	NA	196.0	1632.3158	1936.6184	443	21002101000101
NA	NA	197.0	1760.15	781.59	443	02001110102020
NA	NA	198.0	1632.6052	1976.8948	443	00001011001100
NA	NA	199.0	1417.944	1168.232	443	10201010202020
NA	NA	200.0	852.6055	918.9358	443	01211112222212
NA	NA	201.0	1187.8202	969.51685	443	20122021122010
NA	NA	202.0	1022.7561	1744.9756	443	21001001000000
NA	NA	203.0	1845.25	1588.1608	443	12101120101010
NA	NA	204.0	1153.1531	1574.4387	443	21211122202121
NA	NA	205.0	1325.3628	1501.9509	443	12121022221212
NA	NA	206.0	1466.3661	1578.5892	443	21102222221111
NA	NA	207.0	1121.6342	1322.2073	443	02000212021222
NA	NA	208.0	1670.7543	1946.1694	443	10002010202112
NA	NA	209.0	1119.6781	1929.6666	443	10200221122120
NA	NA	210.0	727.7527	1016.6022	443	20222001201121
NA	NA	211.0	1506.4937	542.9367	443	02121200120112
NA	NA	212.0	620.0769	916.9231	443	20122100001011
NA	NA	213.0	838.875	449.875	443	12211100202110
NA	NA	214.0	1302.2706	757.8588	443	00120110022212
NA	NA	215.0	1570.8643	1367.0864	443	00200022202010
NA	NA	216.0	1026.7949	982.02563	443	10212102122221
NA	NA	217.0	1662.1837	844.2755	443	01010100000002
NA	NA	218.0	991.58655	1944.3557	443	00202000101020
NA	NA	219.0	1039.9341	462.56042	443	21022100211212
NA	NA	220.0	1777.5538	717.0154	443	22201220222020
NA	NA	221.0	1425.5204	1514.9187	443	21022002120101
NA	NA	222.0	1958.9056	1268.5283	443	22102200202020
NA	NA	223.0	1296.4375	389.9271	443	12002210121212
NA	NA	224.0	744.5294	1854.1765	443	21001211000101
NA	NA	225.0	1875.664	1601.2	443	12102201102020
NA	NA	226.0	1639.1327	659.2959	443	10211010212122
NA	NA	227.0	1274.2467	877.7273	443	21222112221222
NA	NA	228.0	1430.125	1054.1923	443	22112202222222
NA	NA	229.0	1547.8229	499.91666	443	02200210121212
NA	NA	230.0	763.8823	913.5647	443	20120021000000
NA	NA	231.0	632.4176	1769.4506	443	10212010202020
NA	NA	232.0	940.73334	733.3778	443	01210022121211
NA	NA	233.0	1135.5056	1093.5056	443	10222011202010
NA	NA	234.0	1079.0254	827.8305	443	01010112021202
NA	NA	235.0	1256.1414	1807.9799	443	20102020202010
NA	NA	236.0	1136.6364	1274.6818	443	22202202221220
NA	NA	237.0	1395.09	468.25	443	02122210121020
NA	NA	238.0	1608.2476	1371.6931	443	20202201201010
NA	NA	239.0	1721.0438	742.2895	443	12212220222020
NA	NA	240.0	1363.2405	1087.519	443	12221212222222
NA	NA	241.0	1535.2872	1135.766	443	10222021212110
NA	NA	242.0	715.8295	1049.2614	443	21122021212121
NA	NA	243.0	963.7	1689.66	443	02000102000202
NA	NA	244.0	321.75757	1058.5657	443	10202010100010
NA	NA	245.0	1610.987	1196.4286	443	11221211212010
NA	NA	246.0	1247.8197	756.0164	443	10021010211120
NA	NA	247.0	1484.2115	2032.7115	443	02200102112122
NA	NA	248.0	443.55072	831.88403	443	10202010202120
NA	NA	249.0	611.0135	1680.9459	443	21020021020202
NA	NA	250.0	1136.4952	1411.5048	443	02000102102020
NA	NA	251.0	1951.2476	1071.703	443	00100010111112
NA	NA	252.0	807.5	963.21875	443	10211121212021
NA	NA	253.0	1159.5579	1509.0316	443	02221212122212
NA	NA	254.0	892.4459	803.5	443	00221101111111
NA	NA	255.0	1242.7041	1201.971	443	01201011102010
NA	NA	256.0	1281.1527	1444.8887	443	00100020102010
