Cell_ID,Cell_Center_X,Cell_Center_Y,pS6235_Nuc_Mean,pS6235_Nuc_Std,pS6235_Nuc_Median,pS6235_Nuc_Max,pS6235_Cell_Mean,pS6235_Cell_Std,pS6235_Cell_Median,pS6235_Cell_Max,DAPI_Nuc_Mean,DAPI_Nuc_Std,DAPI_Nuc_Median,DAPI_Nuc_Max,DAPI_Cell_Mean,DAPI_Cell_Std,DAPI_Cell_Median,DAPI_Cell_Max,pERK_Nuc_Mean,pERK_Nuc_Std,pERK_Nuc_Median,pERK_Nuc_Max,pERK_Cell_Mean,pERK_Cell_Std,pERK_Cell_Median,pERK_Cell_Max,S6_Nuc_Mean,S6_Nuc_Std,S6_Nuc_Median,S6_Nuc_Max,S6_Cell_Mean,S6_Cell_Std,S6_Cell_Median,S6_Cell_Max,p4EBP1_Nuc_Mean,p4EBP1_Nuc_Std,p4EBP1_Nuc_Median,p4EBP1_Nuc_Max,p4EBP1_Cell_Mean,p4EBP1_Cell_Std,p4EBP1_Cell_Median,p4EBP1_Cell_Max,NaKATPase_Nuc_Mean,NaKATPase_Nuc_Std,NaKATPase_Nuc_Median,NaKATPase_Nuc_Max,NaKATPase_Cell_Mean,NaKATPase_Cell_Std,NaKATPase_Cell_Median,NaKATPase_Cell_Max,E_cad_Nuc_Mean,E_cad_Nuc_Std,E_cad_Nuc_Median,E_cad_Nuc_Max,E_cad_Cell_Mean,E_cad_Cell_Std,E_cad_Cell_Median,E_cad_Cell_Max
820.0,1030.0338,704.8776,672.6582,247.43552,608.0,1768.0,0.0,0.0,0.0,0.0,1442.4684,361.17654,1462.0,2241.0,0.0,0.0,0.0,0.0,204.21097,109.527435,201.0,574.0,0.0,0.0,0.0,0.0,1283.6962,134.71117,1263.0,1811.0,0.0,0.0,0.0,0.0,165.9325,34.741413,165.0,265.0,0.0,0.0,0.0,0.0,551.4093,215.58705,513.0,1264.0,0.0,0.0,0.0,0.0,28.839663,60.68734,2.0,421.0,0.0,0.0,0.0,0.0
821.0,1821.0548,375.61182,33.405064,19.253046,32.0,101.0,0.0,0.0,0.0,0.0,26.79325,10.581185,23.0,56.0,0.0,0.0,0.0,0.0,33.350212,26.174515,26.0,111.0,0.0,0.0,0.0,0.0,88.02953,32.550564,87.0,194.0,0.0,0.0,0.0,0.0,4.3881855,9.129238,1.0,82.0,0.0,0.0,0.0,0.0,4.6962028,8.610691,1.0,56.0,0.0,0.0,0.0,0.0,21.08017,16.83119,20.0,72.0,0.0,0.0,0.0,0.0
822.0,1567.3813,689.1568,312.8644,176.2327,265.5,869.0,0.0,0.0,0.0,0.0,1171.733,245.17206,1185.0,1655.0,0.0,0.0,0.0,0.0,170.54662,122.64836,161.0,491.0,0.0,0.0,0.0,0.0,991.61865,426.98117,893.0,1859.0,0.0,0.0,0.0,0.0,252.88559,50.76808,249.0,452.0,0.0,0.0,0.0,0.0,1843.9364,1174.048,1441.5,4988.0,0.0,0.0,0.0,0.0,1062.5424,734.8277,810.5,3440.0,0.0,0.0,0.0,0.0
823.0,1776.517,1313.3474,209.68645,88.48027,196.0,492.0,0.0,0.0,0.0,0.0,865.8517,335.24716,932.0,1392.0,0.0,0.0,0.0,0.0,214.04237,203.75183,175.5,933.0,0.0,0.0,0.0,0.0,963.52966,78.66661,956.5,1219.0,0.0,0.0,0.0,0.0,132.94916,38.659058,130.0,234.0,0.0,0.0,0.0,0.0,210.55933,170.8951,154.5,938.0,0.0,0.0,0.0,0.0,11.042373,17.748905,1.0,98.0,0.0,0.0,0.0,0.0
824.0,675.71796,116.81624,23.572649,17.27397,23.0,74.0,0.0,0.0,0.0,0.0,24.418804,6.5250854,23.0,47.0,0.0,0.0,0.0,0.0,47.871796,25.02991,46.0,127.0,0.0,0.0,0.0,0.0,175.28633,32.644016,174.5,296.0,0.0,0.0,0.0,0.0,6.8076925,9.623766,1.0,46.0,0.0,0.0,0.0,0.0,5.2094016,9.098403,1.0,63.0,0.0,0.0,0.0,0.0,13.337606,12.865897,10.0,52.0,0.0,0.0,0.0,0.0
825.0,22.39738,1521.4236,34.790394,25.364412,33.0,111.0,0.0,0.0,0.0,0.0,23.196507,3.4236252,23.0,34.0,0.0,0.0,0.0,0.0,111.63319,62.220314,105.0,286.0,0.0,0.0,0.0,0.0,164.30568,43.15862,165.0,304.0,0.0,0.0,0.0,0.0,10.965066,16.948126,1.0,102.0,0.0,0.0,0.0,0.0,29.331879,33.219185,16.0,145.0,0.0,0.0,0.0,0.0,19.786026,32.11949,3.0,251.0,0.0,0.0,0.0,0.0
826.0,697.87335,686.2926,82.1703,28.778355,82.0,161.0,0.0,0.0,0.0,0.0,73.59389,6.577463,74.0,98.0,0.0,0.0,0.0,0.0,88.59825,75.53781,93.0,313.0,0.0,0.0,0.0,0.0,1718.6376,300.29175,1780.0,2273.0,0.0,0.0,0.0,0.0,128.0262,43.979145,133.0,233.0,0.0,0.0,0.0,0.0,759.34937,316.17392,677.0,2146.0,0.0,0.0,0.0,0.0,214.51965,105.3401,205.0,492.0,0.0,0.0,0.0,0.0
827.0,1088.469,2041.9248,214.88052,167.29622,245.0,604.0,0.0,0.0,0.0,0.0,897.84515,182.43298,890.5,1487.0,0.0,0.0,0.0,0.0,98.4823,119.57462,43.5,565.0,0.0,0.0,0.0,0.0,1505.6195,811.0814,1785.5,2555.0,0.0,0.0,0.0,0.0,128.74336,69.76494,131.5,364.0,0.0,0.0,0.0,0.0,1934.9513,1448.9768,1541.0,5478.0,0.0,0.0,0.0,0.0,1311.7788,975.7703,1012.0,3830.0,0.0,0.0,0.0,0.0
828.0,1328.9956,435.9646,582.27875,280.73105,496.0,1531.0,0.0,0.0,0.0,0.0,2209.4646,310.81384,2138.0,3396.0,0.0,0.0,0.0,0.0,401.82742,209.1113,349.5,1026.0,0.0,0.0,0.0,0.0,1254.5133,480.1035,1078.0,2727.0,0.0,0.0,0.0,0.0,320.97345,92.10762,297.0,738.0,0.0,0.0,0.0,0.0,2513.6106,830.64606,2465.5,4742.0,0.0,0.0,0.0,0.0,2253.5176,856.2091,2205.0,4530.0,0.0,0.0,0.0,0.0
829.0,1303.0938,1133.8928,151.88393,45.141888,148.5,394.0,0.0,0.0,0.0,0.0,1759.683,263.36313,1766.5,2427.0,0.0,0.0,0.0,0.0,124.54464,88.828926,117.5,451.0,0.0,0.0,0.0,0.0,1689.0447,163.0969,1662.0,2246.0,0.0,0.0,0.0,0.0,194.65625,48.349663,191.5,367.0,0.0,0.0,0.0,0.0,944.2768,478.80264,839.0,3199.0,0.0,0.0,0.0,0.0,534.9464,293.27283,449.0,2369.0,0.0,0.0,0.0,0.0
